10:00 - 10:20,"Arrival, Fruit and Coffee",
10:20 - 10:30,PI's welcome and project conclusion,Jeremy
10:30 - 11:00 ,[PiStack](/pistack) presentation & Demo,Phil / Steven
11:00 - 11:30,JISC [Moonshot](https://www.jisc.ac.uk/assent) demo,Stefan / Jeremy
11:30 - 12:00,Discussion and feedback,Posco
12:00 - 13:00,Lunch,
13:00 - 13:30 ,[fruit-cli](https://pypi.org/project/fruit-cli/) presentation & Demo,Tony
13:30 - 14:00,Real-world applications demo,Eiko / Phil / Tony
14:00 - 14:30 ,Coffee break,
14:30 - 15:30 ,Review of project [publications](/publications) and guest feedback,Posco
15:30 - 16:00,Coffee break and guests leaving,
16:00 - 17:00,Next proposal,
17:00 - 19:30,Dinner and drinks,
